standard_SMILES;average_pIC50
COC(=O)CN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;7.188602434147951
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1;7.4337499784610594
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CC1;5.385855275689074
O=C(Nc1cncc2cc(F)ccc12)[C@H]1CCS(=O)(=O)c2ccc(Cl)cc21;4.610070881893458
CC(C)(O)c1ccc2cncc(NC(=O)C3CCNc4ccc(Cl)cc43)c2c1;6.452079832483051
O=C(Nc1cncc2ccc(CN3CC4(CNC4)C3)cc12)C1CCOc2ccc(Cl)cc21;5.831550243193204
Cc1nccn1Cc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2c1;5.274467244802058
CS(=O)(=O)c1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2c1;6.36947081122422
O=C(Nc1cncc2cc(CN3CC4(CNC4)C3)ccc12)C1CCOc2ccc(Cl)cc21;5.842410830654555
Cc1c(N)cncc1NC(=O)C1CCOc2ccc(Cl)cc21;5.470865794171362
O=C1N(c2cncc3ccccc23)CC[C@@]1(O)c1cccc(Cl)c1;4.042516041611264
O=C(Nc1cncc2ccc(CN3CCNCC3)cc12)C1CCOc2ccc(Cl)cc21;6.121429032699616
O=C1N(c2cncc3ccccc23)CC[C@]1(O)c1cccc(Cl)c1;6.1322076722045304
Cc1cc(N)ncc1NC(=O)C1CCOc2ccc(Cl)cc21;4.002176919254275
Cc1ccnc(NC(=O)C2CCOc3ccc(Cl)cc32)c1N;4.145277544695306
O=C(Nc1cnc2ccccn12)C1CCNc2cc(Cl)c(Cl)cc21;5.703395915217068
Cc1cc(NC(=O)C2CCOc3ccc(Cl)cc32)ncc1N;4.002176919254275
Cc1ccnc(N)c1NC(=O)C1CCOc2ccc(Cl)cc21;4.157735379418695
CC1(C(=O)Nc2cncc3ccc(S(C)(=O)=O)cc23)CNC(=O)c2ccc(Cl)cc21;5.178911460033854
O=C(Nc1cnc2ccccn12)C1CCOc2ccc(Cl)cc21;5.48731030468583
Cn1ncc(NC(=O)C2CCOc3ccc(Cl)cc32)c1C(F)F;4.002176919254275
O=C1Cc2ccccc2N(C(=O)Cc2cccc(Cl)c2)C1;4.002176919254275
CS(=O)(=O)c1ccc2cncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c2c1;5.561950494072448
O=C1NCC(C(=O)Nc2cnc3ccccn23)c2cc(Cl)ccc12;5.2271249277287835
Cc1cc(O)ncc1NC(=O)C1CCOc2ccc(Cl)cc21;4.002176919254275
O=C(Nc1cncc2ccccc12)C(NC(=O)[C@H]1CC[C@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1;5.624233426659314
O=C(Nc1cncc2ccc(C(F)(F)F)cc12)C1CCOc2ccc(Cl)cc21;4.002176919254275
O=C(Nc1cncc2ccccc12)C(NC(=O)[C@@H]1CC[C@@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1;5.3483204704662235
O=C(Nc1cncc2ccccc12)C(NC(=O)[C@H]1CC[C@@H](C(=O)N2CCCC2)O1)c1cccc(Cl)c1;4.7132048817151855
CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(S(C)(=O)=O)cc23)c2cc(Cl)ccc2C1=O;6.482010309654017
